Unique ID,Indicator ID,Name,Measure,Measure Info,Geo Type Name,Geo Join ID,Geo Place Name,Time Period,Start_Date,Data Value
179772.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,409.0,Southeast Queens,,2015-01-01,0.3
221956.0,386.0,Ozone (O3),Mean,ppb,UHF34,305307.0,Upper East Side-Gramercy,Summer 2014,2014-06-01,24.9
221806.0,386.0,Ozone (O3),Mean,ppb,UHF34,103.0,Fordham - Bronx Pk,Summer 2014,2014-06-01,30.7
221836.0,386.0,Ozone (O3),Mean,ppb,UHF34,204.0,East New York,Summer 2014,2014-06-01,32.0
221812.0,386.0,Ozone (O3),Mean,ppb,UHF34,104.0,Pelham - Throgs Neck,Summer 2014,2014-06-01,31.9
179785.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,,2015-01-01,1.2
178540.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2012,2011-12-01,8.6
178561.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Annual Average 2012,2011-12-01,8.0
178561.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2022,2022-06-01,6.1
221962.0,386.0,Ozone (O3),Mean,ppb,UHF34,306308.0,Chelsea-Village,Summer 2014,2014-06-01,25.3
177910.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2012,2012-06-01,10.0
177952.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer ,2013-06-01,9.8
221920.0,386.0,Ozone (O3),Mean,ppb,UHF34,403.0,Flushing - Clearview,Summer 2014,2014-06-01,32.0
178561.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer ,2013-06-01,9.8
177931.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2012,2012-06-01,9.6
178582.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average ,2012-12-01,8.2
178583.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average ,2012-12-01,8.1
547477.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Annual Average 2017,2017-01-01,6.8
547417.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,210.0,Coney Island - Sheepshead Bay,Annual Average 2017,2017-01-01,6.8
177784.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Summer 2009,2009-06-01,10.6
547414.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,2017-01-01,7.1
130413.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,210.0,Coney Island - Sheepshead Bay,,2013-01-01,0.9
130412.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,209.0,Bensonhurst - Bay Ridge,,2013-01-01,1.7
130434.0,640.0,Boiler Emissions- Total SO2 Emissions,Number per km2,number,UHF42,410.0,Rockaways,,2013-01-01,0.0
410847.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2016,2016-06-01,6.9
177889.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Summer 2011,2011-06-01,10.8
177932.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer 2012,2012-06-01,9.4
410782.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2016,2015-12-31,7.1
177974.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Summer ,2013-06-01,9.5
410848.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,410.0,Rockaways,Annual Average 2016,2015-12-31,6.0
823218.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,409.0,Southeast Queens,Winter 2021-22,2021-12-01,6.4
176692.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average ,2012-12-01,18.6
549806.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,209.0,Bensonhurst - Bay Ridge,Annual Average 2017,2017-01-01,17.7
175369.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Winter 2010-11,2010-12-01,25.7
175915.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,409.0,Southeast Queens,Summer 2009,2009-06-01,16.1
549872.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2017,2017-01-01,12.7
741006.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Annual Average 2021,2021-01-01,11.4
336603.0,375.0,Nitrogen dioxide (NO2),Mean,ppb,UHF42,410.0,Rockaways,Winter 2014-15,2014-12-01,20.7
178542.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2012,2011-12-01,9.7
177912.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer 2012,2012-06-01,12.3
177954.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Summer ,2013-06-01,12.2
334047.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Winter 2014-15,2014-12-01,8.8
177772.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2009,2009-06-01,10.4
742215.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,211.0,Williamsburg - Bushwick,Annual Average 2021,2021-01-01,7.2
742257.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Annual Average 2021,2021-01-01,6.3
178588.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Annual Average ,2012-12-01,10.4
177244.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,304.0,Upper West Side,Winter 2010-11,2010-12-01,14.4
410828.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,404.0,Bayside - Little Neck,Winter -16,2015-12-01,7.4
177856.0,365.0,Fine particles (PM 2.5),Mean,mcg/m3,UHF42,104.0,Pelham - Throgs Neck,Summer 2011,2011-06-01,11.5
